country,weightG,priceYen,itemCount,storageDays,site,leaderCompany,leaderMethod,leaderLow,leaderHigh,rankIndeterminate,blockingKeys,blockingLabels,blockingTiers,blockingUnknownReasons,blockingSourceUrls,runnerUpCompany,runnerUpLow,closedByAssumption
DE,200,250000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,324407,324662,false,,,,,,buyee,326883,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,500,3000,1,0,yahoo-auctions,zenmarket,small-packet-air,9508,9508,false,,,,,,fromjapan,9787,
DE,500,10000,1,0,yahoo-auctions,zenmarket,small-packet-air,18140,18140,false,,,,,,fromjapan,18371,
DE,500,30000,1,0,yahoo-auctions,fromjapan,small-packet-air,43846,43846,false,,,,,,buyee,44157,
DE,500,60000,1,0,yahoo-auctions,buyee,small-packet-air,82408,82408,false,,,,,,zenmarket,82732,
DE,500,100000,1,0,yahoo-auctions,buyee,small-packet-air,133411,133411,false,,,,,,zenmarket,133734,
DE,500,150000,1,0,yahoo-auctions,buyee,small-packet-air,197163,197163,false,,,,,,zenmarket,197487,
DE,500,250000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,324993,325622,false,,,,,,buyee,327571,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,1000,3000,1,0,yahoo-auctions,zenmarket,small-packet-air,11039,11039,false,,,,,,fromjapan,11111,
DE,1000,10000,1,0,yahoo-auctions,zenmarket,small-packet-air,19671,19671,false,,,,,,fromjapan,19695,
DE,1000,30000,1,0,yahoo-auctions,fromjapan,small-packet-air,45222,45222,false,,,,,,buyee,45533,
DE,1000,60000,1,0,yahoo-auctions,buyee,small-packet-air,83785,83785,false,,,,,,zenmarket,84700,
DE,1000,100000,1,0,yahoo-auctions,buyee,small-packet-air,134788,134788,false,,,,,,zenmarket,135703,
DE,1000,150000,1,0,yahoo-auctions,buyee,small-packet-air,198541,198541,false,,,,,,zenmarket,199455,
DE,1000,250000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,327398,327398,false,,,,,,buyee,328948,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,2000,3000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,15798,16852,false,,,,,,fromjapan,16293,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,2000,10000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,24430,25484,false,,,,,,fromjapan,25785,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,2000,30000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,50007,51061,false,,,,,,fromjapan,51500,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,2000,60000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,88258,89312,false,,,,,,fromjapan,89751,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,2000,100000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,139261,140315,false,,,,,,fromjapan,140754,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,2000,150000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,203013,204067,false,,,,,,fromjapan,204508,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,2000,250000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,330519,331573,false,,,,,,fromjapan,332013,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,3000,3000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,17097,22214,false,,,,,,fromjapan,17390,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,3000,10000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,25729,30846,false,,,,,,fromjapan,26718,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,3000,30000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,51351,56468,false,,,,,,fromjapan,52471,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,3000,60000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,89603,94720,false,,,,,,fromjapan,90723,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,3000,100000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,140605,145722,false,,,,,,fromjapan,141726,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,3000,150000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,204358,209475,false,,,,,,fromjapan,205478,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,3000,250000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,331864,336981,false,,,,,,fromjapan,332984,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,5000,3000,1,0,yahoo-auctions,zenmarket,courier-fedex,21435,29959,false,,,,,,fromjapan,21685,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,5000,10000,1,0,yahoo-auctions,zenmarket,courier-fedex,30067,38591,false,,,,,,fromjapan,30268,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,5000,30000,1,0,yahoo-auctions,zenmarket,courier-fedex,55743,64267,false,,,,,,fromjapan,56163,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,5000,60000,1,0,yahoo-auctions,zenmarket,courier-fedex,93994,102518,false,,,,,,fromjapan,94415,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,5000,100000,1,0,yahoo-auctions,zenmarket,courier-fedex,144996,153520,false,,,,,,fromjapan,145417,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,5000,150000,1,0,yahoo-auctions,zenmarket,courier-fedex,208750,217274,false,,,,,,fromjapan,209170,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,5000,250000,1,0,yahoo-auctions,zenmarket,courier-fedex,336256,344780,false,,,,,,fromjapan,336676,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,8000,3000,1,0,yahoo-auctions,zenmarket,courier-fedex,21435,29959,false,,,,,,fromjapan,21685,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,8000,10000,1,0,yahoo-auctions,zenmarket,courier-fedex,30067,38591,false,,,,,,fromjapan,30268,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,8000,30000,1,0,yahoo-auctions,zenmarket,courier-fedex,55743,64267,false,,,,,,fromjapan,56163,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,8000,60000,1,0,yahoo-auctions,zenmarket,courier-fedex,93994,102518,false,,,,,,fromjapan,94415,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,8000,100000,1,0,yahoo-auctions,zenmarket,courier-fedex,144996,153520,false,,,,,,fromjapan,145417,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,8000,150000,1,0,yahoo-auctions,zenmarket,courier-fedex,208750,217274,false,,,,,,fromjapan,209170,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,8000,250000,1,0,yahoo-auctions,zenmarket,courier-fedex,336256,344780,false,,,,,,fromjapan,336676,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
FR,200,3000,1,0,yahoo-auctions,zenmarket,small-packet-air,8810,8810,false,,,,,,fromjapan,9273,
FR,200,10000,1,0,yahoo-auctions,zenmarket,small-packet-air,17515,17515,false,,,,,,fromjapan,17927,
FR,200,30000,1,0,yahoo-auctions,fromjapan,small-packet-air,43584,43584,false,,,,,,buyee,43895,
FR,200,60000,1,0,yahoo-auctions,buyee,small-packet-air,82459,82459,false,,,,,,zenmarket,82984,
FR,200,100000,1,0,yahoo-auctions,buyee,small-packet-air,133877,133877,false,,,,,,zenmarket,134403,
FR,200,150000,1,0,yahoo-auctions,buyee,small-packet-air,198151,198151,false,,,,,,zenmarket,198676,
FR,200,250000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,327223,327682,false,,,,,,buyee,329361,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
FR,500,3000,1,0,yahoo-auctions,zenmarket,small-packet-air,9583,9583,false,,,,,,fromjapan,9941,
FR,500,10000,1,0,yahoo-auctions,zenmarket,small-packet-air,18288,18288,false,,,,,,fromjapan,18595,
FR,500,30000,1,0,yahoo-auctions,fromjapan,small-packet-air,44278,44278,false,,,,,,buyee,44589,
FR,500,60000,1,0,yahoo-auctions,buyee,small-packet-air,83153,83153,false,,,,,,zenmarket,83837,
FR,500,100000,1,0,yahoo-auctions,buyee,small-packet-air,134572,134572,false,,,,,,zenmarket,135256,
FR,500,150000,1,0,yahoo-auctions,buyee,small-packet-air,198845,198845,false,,,,,,zenmarket,199529,
FR,500,250000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,328076,328705,false,,,,,,buyee,329361,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
FR,1000,3000,1,0,yahoo-auctions,zenmarket,small-packet-air,11127,11127,false,,,,,,fromjapan,11276,
FR,1000,10000,1,0,yahoo-auctions,zenmarket,small-packet-air,19832,19832,false,,,,,,fromjapan,19930,
FR,1000,30000,1,0,yahoo-auctions,fromjapan,small-packet-air,45665,45665,false,,,,,,buyee,45976,
FR,1000,60000,1,0,yahoo-auctions,buyee,small-packet-air,84540,84540,false,,,,,,zenmarket,85465,
FR,1000,100000,1,0,yahoo-auctions,buyee,small-packet-air,135959,135959,false,,,,,,zenmarket,136884,
FR,1000,150000,1,0,yahoo-auctions,buyee,small-packet-air,200233,200233,false,,,,,,zenmarket,201157,
FR,1000,250000,1,0,yahoo-auctions,buyee,courier-buyee-air,329947,329947,false,,,,,,zenmarket,330611,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
FR,2000,3000,1,0,yahoo-auctions,buyee,courier-buyee-air,14046,14822,false,,,,,,zenmarket,16400,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
